tracking_event_id,tracking_number,batch_id,raw_payload,created_at,has_ascan,has_dscan,time_since_last_scan_days,carrier_accepted_date,carrier_delivery_date,label_print_date,last_tracking_event,last_tracking_event_date,MaerskTrackingNumber,TrackingNumber
,9200190371472212496799,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80016987865,
,9200190371472212506245,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016990656,
,9200190371472212509420,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80016991534,
,9200190371472212511577,,,,TRUE,TRUE,304,7/8/2025,7/11/2025,7/1/2025,Delivered in/at mailbox,7/11/2025,1MTEM01A80016992041,
,9200190371472212512383,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTEM01A80016992197,
,9200190371472212515100,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80016992939,
,9200190371472212515636,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80016993053,
,9200190371472212524140,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, to Individual/Neighbor",7/7/2025,1MTEM01A80016995325,
,9200190371472212547514,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80017001470,
,9200190371472212548504,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTEM01A80017001706,
,9200190371472212550279,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80017002178,
,9200190371472212562463,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,"Delivered, Parcel Locker",7/7/2025,1MTEM01A80017005700,
,9200190371472212567833,,,,TRUE,TRUE,303,7/12/2025,7/12/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/12/2025,1MTEM01A80017007465,
,9200190371472212574374,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Parcel Successfully Delivered,7/5/2025,1MTEM01A80017009265,
,9200190371472212578419,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80017010223,
,9234690371472201368610,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, to Individual/Neighbor",7/5/2025,1MTEM01A80017013091,
,9200190372425000125530,,,,TRUE,TRUE,309,7/2/2025,7/6/2025,7/1/2025,Delivered in/at mailbox,7/6/2025,1MTEM01A80017013800,
